,Title,Sumber,Label,Hasil_Case_Folding,Hasil_Token,Hasil_Stopword,Hasil_Stemming
143,Sinar Mas siap lakukan Vaksinasi Gotong Royong bagi ribuan karyawannya,antaranews,0,sinar mas siap lakukan vaksinasi gotong royong bagi ribuan karyawannya,"['sinar', 'mas', 'siap', 'lakukan', 'vaksinasi', 'gotong', 'royong', 'bagi', 'ribuan', 'karyawannya']","['sinar', 'mas', 'siap', 'lakukan', 'gotong', 'royong', 'ribuan', 'karyawannya']","['sinar', 'mas', 'siap', 'laku', 'gotong', 'royong', 'ribu', 'karyawannya']"
144,9 juta lebih warga Indonesia telah selesai jalani vaksinasi COVID-19,antaranews,0,juta lebih warga indonesia telah selesai jalani vaksinasi covid,"['juta', 'lebih', 'warga', 'indonesia', 'telah', 'selesai', 'jalani', 'vaksinasi', 'covid']","['juta', 'lebih', 'warga', 'indonesia', 'selesai', 'jalani', '']","['juta', 'lebih', 'warga', 'indonesia', 'selesai', 'jalan', '']"
145,Gubernur Jatim: Bentuk Satgas COVID-19 di setiap sekolah,antaranews,0,gubernur jatim bentuk satgas covid di setiap sekolah,"['gubernur', 'jatim', 'bentuk', 'satgas', 'covid', 'di', 'setiap', 'sekolah']","['gubernur', 'jatim', 'bentuk', 'satgas', 'sekolah']","['gubernur', 'jatim', 'bentuk', 'satgas', 'sekolah']"
146,Warga Kalsel diingatkan potensi lonjakan COVID-19 klaster wisata,antaranews,0,warga kalsel diingatkan potensi lonjakan covid klaster wisata,"['warga', 'kalsel', 'diingatkan', 'potensi', 'lonjakan', 'covid', 'klaster', 'wisata']","['warga', 'kalsel', 'diingatkan', 'potensi', 'lonjakan', 'klaster', 'wisata']","['warga', 'kalsel', 'ingat', 'potensi', 'lonjak', 'klaster', 'wisata']"
147,Dinkes: Vaksin AstraZeneca untuk Bali tak masuk yang disetop Kemenkes,antaranews,0,dinkes vaksin astrazeneca untuk bali tak masuk yang disetop kemenkes,"['dinkes', 'vaksin', 'astrazeneca', 'untuk', 'bali', 'tak', 'masuk', 'yang', 'disetop', 'kemenkes']","['dinkes', 'astrazeneca', 'bali', 'tak', 'masuk', 'disetop', 'kemenkes']","['dinkes', 'astrazeneca', 'bal', 'tak', 'masuk', 'setop', 'kemenkes']"
148,Pasien sembuh di Manokwari tambah 9 orang,antaranews,1,pasien sembuh di manokwari tambah orang,"['pasien', 'sembuh', 'di', 'manokwari', 'tambah', 'orang']","['pasien', 'sembuh', 'manokwari', 'tambah', 'orang']","['pasien', 'sembuh', 'manokwari', 'tambah', 'orang']"
149,Pakar usulkan penelitian Sinovac dipublikasikan jurnal internasional,antaranews,0,pakar usulkan penelitian sinovac dipublikasikan jurnal internasional,"['pakar', 'usulkan', 'penelitian', 'sinovac', 'dipublikasikan', 'jurnal', 'internasional']","['pakar', 'usulkan', 'penelitian', 'sinovac', 'dipublikasikan', 'jurnal', 'internasional']","['pakar', 'usul', 'teliti', 'sinovac', 'publikasi', 'jurnal', 'internasional']"
150,Tempat tidur isolasi dan ICU empat rumah sakit di Kepri sudah penuh,antaranews,-1,tempat tidur isolasi dan icu empat rumah sakit di kepri sudah penuh,"['tempat', 'tidur', 'isolasi', 'dan', 'icu', 'empat', 'rumah', 'sakit', 'di', 'kepri', 'sudah', 'penuh']","['tempat', 'tidur', 'isolasi', 'icu', 'empat', 'rumah', 'sakit', 'kepri', 'penuh']","['tempat', 'tidur', 'isolasi', 'icu', 'empat', 'rumah', 'sakit', 'kepri', 'penuh']"
151,8.970.715 warga Indonesia telah menerima vaksin dosis lengkap,antaranews,0,warga indonesia telah menerima vaksin dosis lengkap,"['warga', 'indonesia', 'telah', 'menerima', 'vaksin', 'dosis', 'lengkap']","['warga', 'indonesia', 'menerima', 'dosis', 'lengkap']","['warga', 'indonesia', 'terima', 'dosis', 'lengkap']"
152,Kemenkes hentikan sementara 448.480 dosis AstraZeneca batch CTMAV547,antaranews,0,kemenkes hentikan sementara dosis astrazeneca batch ctmav,"['kemenkes', 'hentikan', 'sementara', 'dosis', 'astrazeneca', 'batch', 'ctmav']","['kemenkes', 'hentikan', 'dosis', 'astrazeneca', 'batch', 'ctmav']","['kemenkes', 'henti', 'dosis', 'astrazeneca', 'batch', 'ctmav']"
153,17 Kelurahan di Palangka Raya zona hijau COVID-19,antaranews,0,kelurahan di palangka raya zona hijau covid,"['kelurahan', 'di', 'palangka', 'raya', 'zona', 'hijau', 'covid']","['kelurahan', 'palangka', 'raya', 'zona', 'hijau', '']","['lurah', 'palangka', 'raya', 'zona', 'hijau', '']"
154,Pasien sembuh COVID-19 di Palangka Raya bertambah 43 orang jadi 5.464,antaranews,1,pasien sembuh covid di palangka raya bertambah orang jadi,"['pasien', 'sembuh', 'covid', 'di', 'palangka', 'raya', 'bertambah', 'orang', 'jadi']","['pasien', 'sembuh', 'palangka', 'raya', 'bertambah', 'orang', 'jadi']","['pasien', 'sembuh', 'palangka', 'raya', 'tambah', 'orang', 'jadi']"
155,Disbudpar apresiasi warga taati larangan berwisata ke siring sungai,antaranews,1,disbudpar apresiasi warga taati larangan berwisata ke siring sungai,"['disbudpar', 'apresiasi', 'warga', 'taati', 'larangan', 'berwisata', 'ke', 'siring', 'sungai']","['disbudpar', 'apresiasi', 'warga', 'taati', 'larangan', 'berwisata', 'siring', 'sungai']","['disbudpar', 'apresiasi', 'warga', 'taat', 'larang', 'wisata', 'siring', 'sungai']"
156,"13,7 juta orang sudah mendapat suntikan vaksin COVID-19",antaranews,0,juta orang sudah mendapat suntikan vaksin covid,"['juta', 'orang', 'sudah', 'mendapat', 'suntikan', 'vaksin', 'covid']","['juta', 'orang', 'mendapat', 'suntikan', '']","['juta', 'orang', 'dapat', 'sunti', '']"
157,Bisakah Indonesia menyusul pencapaian lepas masker di AS?,antaranews,0,bisakah indonesia menyusul pencapaian lepas masker di as,"['bisakah', 'indonesia', 'menyusul', 'pencapaian', 'lepas', 'masker', 'di', 'as']","['bisakah', 'indonesia', 'menyusul', 'pencapaian', 'lepas', 'masker', 'as']","['bisa', 'indonesia', 'susul', 'capai', 'lepas', 'masker', 'as']"
158,Total penerima vaksin COVID-19 capai 13.699.393 orang,antaranews,0,total penerima vaksin covid capai orang,"['total', 'penerima', 'vaksin', 'covid', 'capai', 'orang']","['total', 'penerima', 'capai', 'orang']","['total', 'terima', 'capai', 'orang']"
159,Pasien COVID-19 sembuh di Bangka 2.978 orang,antaranews,1,pasien covid sembuh di bangka orang,"['pasien', 'covid', 'sembuh', 'di', 'bangka', 'orang']","['pasien', 'sembuh', 'bangka', 'orang']","['pasien', 'sembuh', 'bangka', 'orang']"
160,Vaksinasi COVID-19 di Indramayu libur,antaranews,0,vaksinasi covid di indramayu libur,"['vaksinasi', 'covid', 'di', 'indramayu', 'libur']","['', 'indramayu', 'libur']","['', 'indramayu', 'libur']"
161,"Berbasis banjar, Bali gencarkan vaksinasi COVID-19",antaranews,0,berbasis banjar bali gencarkan vaksinasi covid,"['berbasis', 'banjar', 'bali', 'gencarkan', 'vaksinasi', 'covid']","['berbasis', 'banjar', 'bali', 'gencarkan', '']","['bas', 'banjar', 'bal', 'gencar', '']"
162,Kesedihan 'termantap' perawat saat kumandang takbir,antaranews,0,kesedihan termantap perawat saat kumandang takbir,"['kesedihan', 'termantap', 'perawat', 'saat', 'kumandang', 'takbir']","['kesedihan', 'termantap', 'perawat', 'kumandang', 'takbir']","['sedih', 'mantap', 'awat', 'kumandang', 'takbir']"
163,Yayasan Bersih: Program Vaksinasi Massal BUMN di Surabaya sukses,antaranews,1,yayasan bersih program vaksinasi massal bumn di surabaya sukses,"['yayasan', 'bersih', 'program', 'vaksinasi', 'massal', 'bumn', 'di', 'surabaya', 'sukses']","['yayasan', 'bersih', 'program', 'massal', 'bumn', 'surabaya', 'sukses']","['yayasan', 'bersih', 'program', 'massal', 'bumn', 'surabaya', 'sukses']"
164,8.919.557 penduduk Indonesia telah selesaikan vaksinasi COVID-19,antaranews,0,penduduk indonesia telah selesaikan vaksinasi covid,"['penduduk', 'indonesia', 'telah', 'selesaikan', 'vaksinasi', 'covid']","['penduduk', 'indonesia', 'selesaikan', '']","['duduk', 'indonesia', 'selesai', '']"
165,Menkes: Jaga orang yang dicintai dari penularan COVID-19,antaranews,0,menkes jaga orang yang dicintai dari penularan covid,"['menkes', 'jaga', 'orang', 'yang', 'dicintai', 'dari', 'penularan', 'covid']","['menkes', 'jaga', 'orang', 'dicintai', 'penularan', '']","['menkes', 'jaga', 'orang', 'cinta', 'tular', '']"
166,Vaksin Sinovac 94 persen efektif cegah COVID-19 bergejala,antaranews,1,vaksin sinovac persen efektif cegah covid bergejala,"['vaksin', 'sinovac', 'persen', 'efektif', 'cegah', 'covid', 'bergejala']","['', 'sinovac', 'persen', 'efektif', 'cegah', 'bergejala']","['', 'sinovac', 'persen', 'efektif', 'cegah', 'gejala']"
167,13.678.323 jiwa penduduk Indonesia telah divaksinasi,antaranews,0,jiwa penduduk indonesia telah divaksinasi,"['jiwa', 'penduduk', 'indonesia', 'telah', 'divaksinasi']","['jiwa', 'penduduk', 'indonesia', '']","['jiwa', 'duduk', 'indonesia', '']"
168,"Kemenkes: 80,8 persen publik bersedia terima vaksin COVID-19",antaranews,1,kemenkes persen publik bersedia terima vaksin covid,"['kemenkes', 'persen', 'publik', 'bersedia', 'terima', 'vaksin', 'covid']","['kemenkes', 'persen', 'publik', 'bersedia', 'terima', '']","['kemenkes', 'persen', 'publik', 'sedia', 'terima', '']"
169,Indocement bagikan Zakat Fitrah ke 12 desa di Bogor,antaranews,1,indocement bagikan zakat fitrah ke desa di bogor,"['indocement', 'bagikan', 'zakat', 'fitrah', 'ke', 'desa', 'di', 'bogor']","['indocement', 'bagikan', 'zakat', 'fitrah', 'desa', 'bogor']","['indocement', 'bagi', 'zakat', 'fitrah', 'desa', 'bogor']"
170,Total 13.615.313 orang telah jalani vaksinasi COVID-19,antaranews,0,total orang telah jalani vaksinasi covid,"['total', 'orang', 'telah', 'jalani', 'vaksinasi', 'covid']","['total', 'orang', 'jalani', '']","['total', 'orang', 'jalan', '']"
171,Ahli: Vaksin merupakan ikhtiar untuk melindungi diri,antaranews,1,ahli vaksin merupakan ikhtiar untuk melindungi diri,"['ahli', 'vaksin', 'merupakan', 'ikhtiar', 'untuk', 'melindungi', 'diri']","['ahli', 'merupakan', 'ikhtiar', 'melindungi', 'diri']","['ahli', 'rupa', 'ikhtiar', 'lindung', 'diri']"
172,"Kemarin, Kemnaker terima 1.860 laporan THR hingga Lebaran 13 Mei",antaranews,0,kemarin kemnaker terima laporan thr hingga lebaran mei,"['kemarin', 'kemnaker', 'terima', 'laporan', 'thr', 'hingga', 'lebaran', 'mei']","['kemarin', 'kemnaker', 'terima', 'laporan', 'thr', 'hingga', 'lebaran', 'mei']","['kemarin', 'kemnaker', 'terima', 'lapor', 'thr', 'hingga', 'lebaran', 'mei']"
173,"Masuk daftar EUL WHO, Sinopharm permudah penyediaan vaksin",antaranews,1,masuk daftar eul who sinopharm permudah penyediaan vaksin,"['masuk', 'daftar', 'eul', 'who', 'sinopharm', 'permudah', 'penyediaan', 'vaksin']","['masuk', 'daftar', 'eul', 'who', 'sinopharm', 'permudah', 'penyediaan', '']","['masuk', 'daftar', 'eul', 'who', 'sinopharm', 'mudah', 'sedia', '']"
174,GTPP Denpasar : 361 terpapar COVID-19 masih dirawat di RS,antaranews,0,gtpp denpasar terpapar covid masih dirawat di rs,"['gtpp', 'denpasar', 'terpapar', 'covid', 'masih', 'dirawat', 'di', 'rs']","['gtpp', 'denpasar', 'terpapar', 'dirawat', 'rs']","['gtpp', 'denpasar', 'papar', 'rawat', 'rs']"
175,Kemenkes: Penghapusan hak paten vaksin berkontribusi pada akses dunia,antaranews,0,kemenkes penghapusan hak paten vaksin berkontribusi pada akses dunia,"['kemenkes', 'penghapusan', 'hak', 'paten', 'vaksin', 'berkontribusi', 'pada', 'akses', 'dunia']","['kemenkes', 'penghapusan', 'hak', 'paten', 'berkontribusi', 'akses', 'dunia']","['kemenkes', 'hapus', 'hak', 'paten', 'kontribusi', 'akses', 'dunia']"
176,13.475.807 orang di Indonesia telah terima vaksin COVID-19,antaranews,0,orang di indonesia telah terima vaksin covid,"['orang', 'di', 'indonesia', 'telah', 'terima', 'vaksin', 'covid']","['orang', 'indonesia', 'terima', '']","['orang', 'indonesia', 'terima', '']"
177,Pemerintah targetkan 1 juta vaksinasi pada Juni 2021,antaranews,0,pemerintah targetkan juta vaksinasi pada juni,"['pemerintah', 'targetkan', 'juta', 'vaksinasi', 'pada', 'juni']","['pemerintah', 'targetkan', 'juta', 'juni']","['perintah', 'target', 'juta', 'juni']"
178,Komnas KIPI: Belum cukup bukti kaitkan vaksin dan meninggalnya Trio,antaranews,0,komnas kipi belum cukup bukti kaitkan vaksin dan meninggalnya trio,"['komnas', 'kipi', 'belum', 'cukup', 'bukti', 'kaitkan', 'vaksin', 'dan', 'meninggalnya', 'trio']","['komnas', 'kipi', 'cukup', 'bukti', 'kaitkan', 'meninggalnya', 'trio']","['komnas', 'kipi', 'cukup', 'bukti', 'kait', 'tinggal', 'trio']"
179,"Keluhkan sakit pascavaksinasi COVID-19, warga Sukabumi dilarikan ke RS",antaranews,-1,keluhkan sakit pascavaksinasi covid warga sukabumi dilarikan ke rs,"['keluhkan', 'sakit', 'pascavaksinasi', 'covid', 'warga', 'sukabumi', 'dilarikan', 'ke', 'rs']","['keluhkan', 'sakit', 'pascavaksinasi', 'warga', 'sukabumi', 'dilarikan', 'rs']","['keluh', 'sakit', 'pascavaksinasi', 'warga', 'sukabumi', 'lari', 'rs']"
180,Perkebunan sawit di Kotim diminta atur jadwal pekerja turun ke kota,antaranews,0,perkebunan sawit di kotim diminta atur jadwal pekerja turun ke kota,"['perkebunan', 'sawit', 'di', 'kotim', 'diminta', 'atur', 'jadwal', 'pekerja', 'turun', 'ke', 'kota']","['perkebunan', 'sawit', 'kotim', 'diminta', 'atur', 'jadwal', 'pekerja', 'turun', 'kota']","['kebun', 'sawit', 'kotim', 'minta', 'atur', 'jadwal', 'kerja', 'turun', 'kota']"
181,"Kemarin, varian B1617 di Kalteng sampai 8,6 juta orang terima vaksin",antaranews,0,kemarin varian  di kalteng sampai juta orang terima vaksin,"['kemarin', 'varian', 'di', 'kalteng', 'sampai', 'juta', 'orang', 'terima', 'vaksin']","['kemarin', 'varian', 'kalteng', 'juta', 'orang', 'terima', '']","['kemarin', 'varian', 'kalteng', 'juta', 'orang', 'terima', '']"
182,Positif COVID-19 di Sultra bertambah menjadi 10.451,antaranews,-1,positif covid di sultra bertambah menjadi,"['positif', 'covid', 'di', 'sultra', 'bertambah', 'menjadi']","['positif', 'sultra', 'bertambah', 'menjadi']","['positif', 'sultra', 'tambah', 'jadi']"
183,Freeport berbagi bersama dengan 1.000 anak yatim-dhuafa di Jabodebek,antaranews,1,freeport berbagi bersama dengan anak yatimdhuafa di jabodebek,"['freeport', 'berbagi', 'bersama', 'dengan', 'anak', 'yatimdhuafa', 'di', 'jabodebek']","['freeport', 'berbagi', 'bersama', 'anak', 'yatimdhuafa', 'jabodebek']","['freeport', 'bagi', 'sama', 'anak', 'yatimdhuafa', 'jabodebek']"
184,Tim pakar: Maksimalkan vaksinasi saat penyekatan larangan mudik,antaranews,0,tim pakar maksimalkan vaksinasi saat penyekatan larangan mudik,"['tim', 'pakar', 'maksimalkan', 'vaksinasi', 'saat', 'penyekatan', 'larangan', 'mudik']","['tim', 'pakar', 'maksimalkan', 'penyekatan', 'larangan', 'mudik']","['tim', 'pakar', 'maksimal', 'sekat', 'larang', 'mudik']"
185,Pakar optimis kasus COVID-19 Indonesia tidak sampai seperti India,antaranews,1,pakar optimis kasus covid indonesia tidak sampai seperti india,"['pakar', 'optimis', 'kasus', 'covid', 'indonesia', 'tidak', 'sampai', 'seperti', 'india']","['pakar', 'optimis', 'kasus', 'indonesia', 'india']","['pakar', 'optimis', 'kasus', 'indonesia', 'india']"
186,Vaksinasi COVID-19 bagi penyandang disabilitas,antaranews,0,vaksinasi covid bagi penyandang disabilitas,"['vaksinasi', 'covid', 'bagi', 'penyandang', 'disabilitas']","['', 'penyandang', 'disabilitas']","['', 'sandang', 'disabilitas']"
187,Kemensos fasilitasi penyandang disabilitas mental ikuti vaksinasi,antaranews,1,kemensos fasilitasi penyandang disabilitas mental ikuti vaksinasi,"['kemensos', 'fasilitasi', 'penyandang', 'disabilitas', 'mental', 'ikuti', 'vaksinasi']","['kemensos', 'fasilitasi', 'penyandang', 'disabilitas', 'mental', 'ikuti', '']","['kemensos', 'fasilitas', 'sandang', 'disabilitas', 'mental', 'ikut', '']"
188,Vaksinasi COVID-19 bagi lansia Aceh capai 3.730 orang,antaranews,0,vaksinasi covid bagi lansia aceh capai orang,"['vaksinasi', 'covid', 'bagi', 'lansia', 'aceh', 'capai', 'orang']","['', 'lansia', 'aceh', 'capai', 'orang']","['', 'lansia', 'aceh', 'capai', 'orang']"
189,"Sepekan, upaya antisipasi mudik dan belajar tatap muka",antaranews,0,sepekan upaya antisipasi mudik dan belajar tatap muka,"['sepekan', 'upaya', 'antisipasi', 'mudik', 'dan', 'belajar', 'tatap', 'muka']","['sepekan', 'upaya', 'antisipasi', 'mudik', 'belajar', 'tatap', 'muka']","['pek', 'upaya', 'antisipasi', 'mudik', 'ajar', 'tatap', 'muka']"
190,Pasien COVID-19 yang sembuh di Sulteng bertambah menjadi 11.644 orang,antaranews,1,pasien covid yang sembuh di sulteng bertambah menjadi orang,"['pasien', 'covid', 'yang', 'sembuh', 'di', 'sulteng', 'bertambah', 'menjadi', 'orang']","['pasien', 'sembuh', 'sulteng', 'bertambah', 'menjadi', 'orang']","['pasien', 'sembuh', 'sulteng', 'tambah', 'jadi', 'orang']"
191,Sejumlah pemudik masuk ke Solo jalani karantina di STP,antaranews,0,sejumlah pemudik masuk ke solo jalani karantina di stp,"['sejumlah', 'pemudik', 'masuk', 'ke', 'solo', 'jalani', 'karantina', 'di', 'stp']","['sejumlah', 'pemudik', 'masuk', 'solo', 'jalani', 'karantina', 'stp']","['jumlah', 'mudik', 'masuk', 'solo', 'jalan', 'karantina', 'stp']"
192,Boyolali bertambah 107 kasus terkonfimasi positif COVID-19,antaranews,-1,boyolali bertambah kasus terkonfimasi positif covid,"['boyolali', 'bertambah', 'kasus', 'terkonfimasi', 'positif', 'covid']","['boyolali', 'bertambah', 'kasus', 'terkonfimasi', 'positif', '']","['boyolali', 'tambah', 'kasus', 'terkonfimasi', 'positif', '']"
193,GTPP Denpasar sebutkan hari ini 36 orang terpapar COVID-19,antaranews,-1,gtpp denpasar sebutkan hari ini orang terpapar covid,"['gtpp', 'denpasar', 'sebutkan', 'hari', 'ini', 'orang', 'terpapar', 'covid']","['gtpp', 'denpasar', 'sebutkan', 'hari', 'orang', 'terpapar', '']","['gtpp', 'denpasar', 'sebut', 'hari', 'orang', 'papar', '']"
194,"Atalia Praratya, istri Ridwan Kamil sembuh dari COVID-19",antaranews,1,atalia praratya istri ridwan kamil sembuh dari covid,"['atalia', 'praratya', 'istri', 'ridwan', 'kamil', 'sembuh', 'dari', 'covid']","['atalia', 'praratya', 'istri', 'ridwan', 'kamil', 'sembuh', '']","['atalia', 'praratya', 'istri', 'ridwan', 'kamil', 'sembuh', '']"
195,13 juta jiwa telah menjalani vaksinasi dosis pertama,antaranews,0,juta jiwa telah menjalani vaksinasi dosis pertama,"['juta', 'jiwa', 'telah', 'menjalani', 'vaksinasi', 'dosis', 'pertama']","['juta', 'jiwa', 'menjalani', 'dosis', 'pertama']","['juta', 'jiwa', 'jalan', 'dosis', 'pertama']"
196,Vaksin AstraZeneca batch ketiga tiba di Indonesia,antaranews,0,vaksin astrazeneca batch ketiga tiba di indonesia,"['vaksin', 'astrazeneca', 'batch', 'ketiga', 'tiba', 'di', 'indonesia']","['', 'astrazeneca', 'batch', 'ketiga', 'tiba', 'indonesia']","['', 'astrazeneca', 'batch', 'tiga', 'tiba', 'indonesia']"
197,Menlu : Waspadai kenaikan kasus COVID-19 secara global,antaranews,0,menlu waspadai kenaikan kasus covid secara global,"['menlu', 'waspadai', 'kenaikan', 'kasus', 'covid', 'secara', 'global']","['menlu', 'waspadai', 'kenaikan', 'kasus', 'global']","['menlu', 'waspada', 'naik', 'kasus', 'global']"
198,Vaksin AstraZeneca kembali tiba di Indonesia,antaranews,0,vaksin astrazeneca kembali tiba di indonesia,"['vaksin', 'astrazeneca', 'kembali', 'tiba', 'di', 'indonesia']","['', 'astrazeneca', 'tiba', 'indonesia']","['', 'astrazeneca', 'tiba', 'indonesia']"
199,Indonesia terima batch ketiga vaksin AstraZeneca dari fasilitas COVAX,antaranews,0,indonesia terima batch ketiga vaksin astrazeneca dari fasilitas covax,"['indonesia', 'terima', 'batch', 'ketiga', 'vaksin', 'astrazeneca', 'dari', 'fasilitas', 'covax']","['indonesia', 'terima', 'batch', 'ketiga', 'astrazeneca', 'fasilitas', 'covax']","['indonesia', 'terima', 'batch', 'tiga', 'astrazeneca', 'fasilitas', 'covax']"
200,Vaksinasi COVID-19 jajaran Kejati Aceh tuntas,antaranews,1,vaksinasi covid jajaran kejati aceh tuntas,"['vaksinasi', 'covid', 'jajaran', 'kejati', 'aceh', 'tuntas']","['', 'jajaran', 'kejati', 'aceh', 'tuntas']","['', 'jajar', 'kejat', 'aceh', 'tuntas']"
201,"Kemarin, mulai jumlah penerima vaksin hingga peredaran pangan ilegal",antaranews,0,kemarin mulai jumlah penerima vaksin hingga peredaran pangan ilegal,"['kemarin', 'mulai', 'jumlah', 'penerima', 'vaksin', 'hingga', 'peredaran', 'pangan', 'ilegal']","['kemarin', 'mulai', 'jumlah', 'penerima', 'hingga', 'peredaran', 'pangan', 'ilegal']","['kemarin', 'mulai', 'jumlah', 'terima', 'hingga', 'edar', 'pangan', 'ilegal']"
202,Vaksinasi Gotong Royong ditargetkan bergulir 17 Mei 2021,antaranews,0,vaksinasi gotong royong ditargetkan bergulir mei,"['vaksinasi', 'gotong', 'royong', 'ditargetkan', 'bergulir', 'mei']","['', 'gotong', 'royong', 'ditargetkan', 'bergulir', 'mei']","['', 'gotong', 'royong', 'target', 'gulir', 'mei']"
203,Tim Satgas Pakar Penanganan COVID-19 Nasional pantau prokes di Badung,antaranews,0,tim satgas pakar penanganan covid nasional pantau prokes di badung,"['tim', 'satgas', 'pakar', 'penanganan', 'covid', 'nasional', 'pantau', 'prokes', 'di', 'badung']","['tim', 'satgas', 'pakar', 'penanganan', 'nasional', 'pantau', 'prokes', 'badung']","['tim', 'satgas', 'pakar', 'tangan', 'nasional', 'pantau', 'prokes', 'badung']"
204,Jumlah penerima vaksin COVID-19 capai 13.136.686 orang,antaranews,0,jumlah penerima vaksin covid capai orang,"['jumlah', 'penerima', 'vaksin', 'covid', 'capai', 'orang']","['jumlah', 'penerima', 'capai', 'orang']","['jumlah', 'terima', 'capai', 'orang']"
205,Kemenkes-Novartis jalin kerja sama pencegahan penyakit tidak menular,antaranews,0,kemenkesnovartis jalin kerja sama pencegahan penyakit tidak menular,"['kemenkesnovartis', 'jalin', 'kerja', 'sama', 'pencegahan', 'penyakit', 'tidak', 'menular']","['kemenkesnovartis', 'jalin', 'kerja', 'sama', 'pencegahan', 'penyakit', 'menular']","['kemenkesnovartis', 'jalin', 'kerja', 'sama', 'cegah', 'sakit', 'tular']"
206,Epidemiolog: Masyarakat harus disiplin prokes meski sudah divaksin,antaranews,0,epidemiolog masyarakat harus disiplin prokes meski sudah divaksin,"['epidemiolog', 'masyarakat', 'harus', 'disiplin', 'prokes', 'meski', 'sudah', 'divaksin']","['epidemiolog', 'masyarakat', 'disiplin', 'prokes', 'meski', '']","['epidemiolog', 'masyarakat', 'disiplin', 'prokes', 'meski', '']"
207,Dinkes Sulteng: 83.338 orang telah mengikuti vaksinasi COVID-19,antaranews,0,dinkes sulteng orang telah mengikuti vaksinasi covid,"['dinkes', 'sulteng', 'orang', 'telah', 'mengikuti', 'vaksinasi', 'covid']","['dinkes', 'sulteng', 'orang', 'mengikuti', '']","['dinkes', 'sulteng', 'orang', 'ikut', '']"
208,Satgas COVID-19 pusat monitor pelaksanaan PPKM Mikro di Kota Madiun,antaranews,0,satgas covid pusat monitor pelaksanaan ppkm mikro di kota madiun,"['satgas', 'covid', 'pusat', 'monitor', 'pelaksanaan', 'ppkm', 'mikro', 'di', 'kota', 'madiun']","['satgas', 'pusat', 'monitor', 'pelaksanaan', 'ppkm', 'mikro', 'kota', 'madiun']","['satgas', 'pusat', 'monitor', 'laksana', 'ppkm', 'mikro', 'kota', 'madiun']"
209,Vaksin COVID-19 telah diterima 12.995.710 orang di Indonesia,antaranews,0,vaksin covid telah diterima orang di indonesia,"['vaksin', 'covid', 'telah', 'diterima', 'orang', 'di', 'indonesia']","['', 'diterima', 'orang', 'indonesia']","['', 'terima', 'orang', 'indonesia']"
210,Bali targetkan dua pekan tuntaskan 500 ribu vaksinasi dosis pertama,antaranews,0,bali targetkan dua pekan tuntaskan ribu vaksinasi dosis pertama,"['bali', 'targetkan', 'dua', 'pekan', 'tuntaskan', 'ribu', 'vaksinasi', 'dosis', 'pertama']","['bali', 'targetkan', 'pekan', 'tuntaskan', 'ribu', 'dosis', 'pertama']","['bal', 'target', 'pekan', 'tuntas', 'ribu', 'dosis', 'pertama']"
211,Pemprov Jabar tingkatkan vaksinasi di daerah padat penduduk,antaranews,1,pemprov jabar tingkatkan vaksinasi di daerah padat penduduk,"['pemprov', 'jabar', 'tingkatkan', 'vaksinasi', 'di', 'daerah', 'padat', 'penduduk']","['pemprov', 'jabar', 'tingkatkan', 'daerah', 'padat', 'penduduk']","['pemprov', 'jabar', 'tingkat', 'daerah', 'padat', 'duduk']"
212,Pasien COVID-19 meninggal saat berusaha kabur dari ICU,antaranews,-1,pasien covid meninggal saat berusaha kabur dari icu,"['pasien', 'covid', 'meninggal', 'saat', 'berusaha', 'kabur', 'dari', 'icu']","['pasien', 'meninggal', 'berusaha', 'kabur', 'icu']","['pasien', 'tinggal', 'usaha', 'kabur', 'icu']"
213,"Mengenal Varian Corona 'Ganas' India, Seberapa Menakutkan?",cnbcindonesia,-1,mengenal varian corona ganas india seberapa menakutkan,"['mengenal', 'varian', 'corona', 'ganas', 'india', 'seberapa', 'menakutkan']","['mengenal', 'varian', 'ganas', 'india', 'seberapa', 'menakutkan']","['kenal', 'varian', 'ganas', 'india', 'berapa', 'takut']"
214,Vaksin Sinopharm Buatan Mana & Berapa Harganya?,cnbcindonesia,0,vaksin sinopharm buatan mana berapa harganya,"['vaksin', 'sinopharm', 'buatan', 'mana', 'berapa', 'harganya']","['', 'sinopharm', 'buatan', 'mana', 'berapa', 'harganya']","['', 'sinopharm', 'buat', 'mana', 'berapa', 'harga']"
215,"Tak Hanya Pandemi, Kominfo Ingatkan Ancaman Infodemic Covid",cnbcindonesia,0,tak hanya pandemi kominfo ingatkan ancaman infodemic covid,"['tak', 'hanya', 'pandemi', 'kominfo', 'ingatkan', 'ancaman', 'infodemic', 'covid']","['tak', 'pandemi', 'kominfo', 'ingatkan', 'ancaman', 'infodemic', '']","['tak', 'pandemi', 'kominfo', 'ingat', 'ancam', 'infodemic', '']"
216,"Top! Lawan Covid, RI Sudah Datangkan 74 Juta Vaksin Corona",cnbcindonesia,1,top lawan covid ri sudah datangkan juta vaksin corona,"['top', 'lawan', 'covid', 'ri', 'sudah', 'datangkan', 'juta', 'vaksin', 'corona']","['top', 'lawan', 'ri', 'datangkan', 'juta', '']","['top', 'lawan', 'ri', 'datang', 'juta', '']"
